participant,Instrument,Piano_Keyboard,Sports_training,Gamer,Gender,Age,act,agghost,impss,neuranx,soc,N,P,E,L
023,False,False,False,True,Male,21,0.1,0.4,0.1,0.5,0.1,0.3333333333333333,0.08333333333333333,0.25,0.08333333333333333
001,True,False,True,False,Female,22,0.2,0.6,0.5,1.0,0.1,0.8333333333333334,0.25,0.4166666666666667,0.16666666666666666
004,True,True,True,False,Female,26,0.8,0.4,0.4,0.6,0.4,0.5833333333333334,0.0,0.5833333333333334,0.08333333333333333
003,True,False,False,True,Female,20,0.2,0.6,0.5,0.9,0.8,0.9166666666666666,0.16666666666666666,1.0,0.4166666666666667
002,True,False,True,False,Female,20,0.5,0.3,0.4,0.7,0.0,0.75,0.08333333333333333,0.6666666666666666,0.25
005,False,False,True,True,Female,20,0.0,0.1,0.3333333333333333,1.0,0.3,1.0,0.16666666666666666,0.6666666666666666,0.25
006,False,False,False,True,Male,27,0.3,0.2,0.8,0.3,0.6,0.25,0.16666666666666666,0.8333333333333334,0.3333333333333333
007,False,False,False,False,Male,22,0.2222222222222222,0.0,0.3,0.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.6,0.45454545454545453
008,False,False,False,True,Female,24,0.1,0.5,0.2,0.9,0.0,0.9166666666666666,0.25,0.16666666666666666,0.08333333333333333
009,False,False,False,True,Female,19,0.4,0.4,0.8,0.7,0.3,0.75,0.16666666666666666,0.3333333333333333,0.5
011,False,False,True,False,Female,20,0.5,0.6,0.4,0.1,0.3,0.4166666666666667,0.4166666666666667,0.75,0.09090909090909091
015,False,False,False,True,Female,20,0.5,0.1,1.0,0.9,0.2,0.8333333333333334,0.3333333333333333,0.5833333333333334,0.16666666666666666
016,True,False,False,True,Female,22,0.1,0.6,0.5,0.3,0.8,0.5,0.25,0.3333333333333333,0.25
018,True,True,True,False,Female,23,0.5,0.1,0.1,0.3,1.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.4166666666666667
019,True,True,True,False,Male,21,1.0,0.2,1.0,0.2,0.6,0.4166666666666667,0.16666666666666666,0.9166666666666666,0.16666666666666666
013,True,True,True,False,Female,21,0.2,0.5,0.1,0.7,0.1,0.8333333333333334,0.16666666666666666,0.2727272727272727,0.16666666666666666
020,True,True,True,False,Female,23,0.7,0.2,0.1,0.5,0.2,0.4166666666666667,0.3333333333333333,0.7272727272727273,0.25
017,True,False,True,False,Female,20,1.0,0.4,0.6,0.3,0.8,0.25,0.5,0.9166666666666666,0.3333333333333333
014,True,False,True,False,Female,23,0.6,0.0,0.7,0.0,0.9,0.08333333333333333,0.25,1.0,0.6666666666666666
010,False,False,False,True,Male,22,0.0,0.1,0.2,0.3,0.2,0.3333333333333333,0.25,0.16666666666666666,0.16666666666666666
022,False,False,False,False,Male,19,0.5,0.5,0.4,0.8,0.4,0.8333333333333334,0.25,0.5,0.3333333333333333
021,True,False,True,True,Female,25,0.3,0.4,0.4,0.3,0.4,0.16666666666666666,0.08333333333333333,0.75,0.6666666666666666
012,True,False,True,True,Male,25,0.1,0.1,0.2,0.0,0.1,0.25,0.5,0.5,0.25
